Year,Period,Label,Value
2013,M01,2013 Jan,266.112
2013,M02,2013 Feb,267.171
2013,M03,2013 Mar,267.351
2013,M04,2013 Apr,265.956
2013,M05,2013 May,267.178
2013,M06,2013 Jun,268.134
2013,M07,2013 Jul,269.486
2013,M08,2013 Aug,269.187
2013,M09,2013 Sep,268.393
2013,M10,2013 Oct,269.178
2013,M11,2013 Nov,270.613
2013,M12,2013 Dec,271.159
2014,M01,2014 Jan,270.8
2014,M02,2014 Feb,281.637
2014,M03,2014 Mar,287.057
2014,M04,2014 Apr,295.581
2014,M05,2014 May,295.793
2014,M06,2014 Jun,296.1
2014,M07,2014 Jul,297.388
2014,M08,2014 Aug,309.93
2014,M09,2014 Sep,316.044
2014,M10,2014 Oct,317.068
2014,M11,2014 Nov,319.51
2014,M12,2014 Dec,321.776
2015,M01,2015 Jan,322.162
2015,M02,2015 Feb,324.308
2015,M03,2015 Mar,324.612
2015,M04,2015 Apr,325.822
2015,M05,2015 May,325.578
2015,M06,2015 Jun,328.468
2015,M07,2015 Jul,327.203
2015,M08,2015 Aug,325.303
2015,M09,2015 Sep,323.227
2015,M10,2015 Oct,319.94
2015,M11,2015 Nov,315.453
2015,M12,2015 Dec,307.976
2016,M01,2016 Jan,303.652
2016,M02,2016 Feb,304.702
2016,M03,2016 Mar,308.092
2016,M04,2016 Apr,307.494
2016,M05,2016 May,308.094
2016,M06,2016 Jun,306.307
2016,M07,2016 Jul,302.012
2016,M08,2016 Aug,302.478
2016,M09,2016 Sep,300.457
2016,M10,2016 Oct,295.912
2016,M11,2016 Nov,294.801
2016,M12,2016 Dec,290.748
2017,M01,2017 Jan,289.966
2017,M02,2017 Feb,291.384
2017,M03,2017 Mar,293.076
2017,M04,2017 Apr,294.466
2017,M05,2017 May,295.196
2017,M06,2017 Jun,303.852
2017,M07,2017 Jul,307.084
2017,M08,2017 Aug,304.918
2017,M09,2017 Sep,301.588
2017,M10,2017 Oct,298.647
2017,M11,2017 Nov,299.546
2017,M12,2017 Dec,301.064
2018,M01,2018 Jan,297.178
2018,M02,2018 Feb,297.508
2018,M03,2018 Mar,301.184
2018,M04,2018 Apr,306.338
2018,M05,2018 May,302.881
2018,M06,2018 Jun,306.24
2018,M07,2018 Jul,307.501
2018,M08,2018 Aug,307.298
2018,M09,2018 Sep,304.366
2018,M10,2018 Oct,300.588
2018,M11,2018 Nov,300.666
2018,M12,2018 Dec,299.352
2019,M01,2019 Jan,301.93
2019,M02,2019 Feb,302.155
2019,M03,2019 Mar,304.659
2019,M04,2019 Apr,306.389
2019,M05,2019 May,309.092
2019,M06,2019 Jun,308.185
2019,M07,2019 Jul,309.866
2019,M08,2019 Aug,308.12
2019,M09,2019 Sep,307.493
2019,M10,2019 Oct,308.032
2019,M11,2019 Nov,308.601
2019,M12,2019 Dec,313.818
2020,M01,2020 Jan,313.61
2020,M02,2020 Feb,314.232
2020,M03,2020 Mar,316.27
2020,M04,2020 Apr,329.503
2020,M05,2020 May,365.484
2020,M06,2020 Jun,385.495
2020,M07,2020 Jul,354.009
2020,M08,2020 Aug,337.768
2020,M09,2020 Sep,332.996
2020,M10,2020 Oct,332.092
2020,M11,2020 Nov,331.779
2020,M12,2020 Dec,330.521
2021,M01,2021 Jan,333.526
2021,M02,2021 Feb,334.797
2021,M03,2021 Mar,338.61
2021,M04,2021 Apr,343.185
2021,M05,2021 May,355.918
2021,M06,2021 Jun,374.863
2021,M07,2021 Jul,376.883
2021,M08,2021 Aug,379.108
2021,M09,2021 Sep,391.645
2021,M10,2021 Oct,398.898
